highway,direction,exit,exit_name
Grand Central Parkway, EB, Exit 11, 69th Rd/Jewel Ave
Grand Central Parkway, EB, Exit 12, 78th Ave/Queens Blvd
Grand Central Parkway, EB, Exit 13, VWE/JFK Airport
Grand Central Parkway, EB, Exit 14, JRP/Union Tpke
Grand Central Parkway, EB, Exit 16, Parsons Blvd/164th St
Grand Central Parkway, EB, Exit 18, Union Tpke
Grand Central Parkway, EB, Exit 19 188th St
Grand Central Parkway, EB, Exit 20B, SB Francis Lewis Blvd
Grand Central Parkway, EB, Exit 20A, NB Francis Lewis Blvd
Grand Central Parkway, EB, Exit 21, CVE/Hillside Ave
Grand Central Parkway, EB, Exit 22, Union Tpke
Grand Central Parkway, EB, Exit 23, CIP/Winchester Blvd
Grand Central Parkway, EB, Exit 24, Little Neck Pkwy
Grand Central Parkway, EB, NSP

Belt Parkway, WB, Exit 25A, SSP
Belt Parkway, WB, Exit 24B, Merrick Blvd
Belt Parkway, WB, Exit 24A, Francis Lewis Blvd
Belt Parkway, WB, Exit 23A, N. Conduit Ave/225th St
Belt Parkway, WB, Exit 22, Springfield Blvd
Belt Parkway, WB, Exit 21B, Farmers Blvd/Guy R. Brewer Blvd
Belt Parkway, WB, Exit 21A, Rockaway Blvd
Belt Parkway, WB, Exit 20, JFK Airport/JFK Expressway
Belt Parkway, WB, Exit 18B, Lefferts Blvd/Aqueduct
Belt Parkway, WB, Exit 17N, NB Cross Bay Blvd/Cohancy St
Belt Parkway, WB, Exit 17W, N. Conduit Ave
Belt Parkway, WB, Exit 17S, SB Cross Bay Blvd
Belt Parkway, WB, Exit 15, Erskine St
Belt Parkway, WB, Exit 14, Pennsylvania Ave
Belt Parkway, WB, Exit 13, Rockaway Pkwy
Belt Parkway, WB, Exit 11N, NB Flatbush Ave
Belt Parkway, WB, Exit 11S, SB Flatbush Ave/Rockaways
Belt Parkway, WB, Exit 9, Knapp St
Belt Parkway, WB, Exit 8, Coney Island Ave
Belt Parkway, WB, Exit 7B, Ocean Pkwy
Belt Parkway, WB, Exit 7A, Coney Island/Shell Rd
Belt Parkway, WB, Exit 6N, Stillwell Ave/NB Crospey Ave
Belt Parkway, WB, Exit 6S, SB Crospey Ave
Belt Parkway, WB, Exit 5, Bay Pkwy
Belt Parkway, WB, Exit 4, 14th Ave/Bay 8th St
Belt Parkway, WB, Exit 3, VZ-Bridge/SIE
Belt Parkway, WB, Exit 2, 4th Ave/Fort Hamilton Pkwy
Belt Parkway, WB, Exit 1, 65th St/67th St
Belt Parkway, WB, Gowanus Expwy
Belt Parkway, EB, Gowanus Expwy
Belt Parkway, EB, Exit 1, 65th St/67th St
Belt Parkway, EB, Exit 2, 4th Ave/Ft. Hamilton Pkwy
Belt Parkway, EB, Exit 4, 14th Ave/Bay 8th St
Belt Parkway, EB, Exit 5, Bay Pkwy
Belt Parkway, EB, Exit 6, Crospey Ave/Coney Island
Belt Parkway, EB, Exit 7, Ocean Pkwy
Belt Parkway, EB, Exit 8, Coney Island Ave
Belt Parkway, EB, Exit 9A, Knapp St/Sheepshead Bay
Belt Parkway, EB, Exit 9B, Knapp St
Belt Parkway, EB, Exit 11S, SB Flatbush Ave/Rockaways
Belt Parkway, EB, Exit 11N, NB Flatbush Ave
Belt Parkway, EB, Exit 13, Rockaway Pkwy
Belt Parkway, EB, Exit 14, Pennsylvania Ave
Belt Parkway, EB, Exit 15, Erskine St
Belt Parkway, EB, Exit 17, Cross Bay Blvd
Belt Parkway, EB, Exit 19, Nassau Expwy/VWE/JFK Airport
Belt Parkway, EB, Exit 20, 150th St/Rockaway Blvd
Belt Parkway, EB, Exit 21B, Farmers Blvd
Belt Parkway, EB, Exit 22, Springfield Blvd
Belt Parkway, EB, Exit 23B, Sunrise Hwe/Brookville Blvd
Belt Parkway, EB, Exit 24A, Merrickl Blvd/Francis Lewis Blvd
Belt Parkway, EB, Exit 24B, 130th Ave
Belt Parkway, EB, Exit 25A, SSP

Cross Island Parkway, NB, Belt Pkwy/SSP
Cross Island Parkway, NB, Exit 25B, Elmont Rd/Linden Blvd
Cross Island Parkway, NB, Exit 26A, UBS Arena-Belmont Park
Cross Island Parkway, NB, Exit 26B, Hempstead Ave/Belmont Racetrack
Cross Island Parkway, NB, Exit 26D, UBS Arena-Belmont Park
Cross Island Parkway, NB, Exit 27, Jamaica Ave/Jericho Tpke
Cross Island Parkway, NB, Exit 28A, Hillside Ave
Cross Island Parkway, NB, Exit 28B, Union Tpke
Cross Island Parkway, NB, Exits 29E-W, GCP
Cross Island Parkway, NB, Exit 30E, EB LIE
Cross Island Parkway, NB, Exit 30W, WB LIE
Cross Island Parkway, NB, Exit 31E, EB Northern Blvd
Cross Island Parkway, NB, Exit 31W, WB Northern Blvd
Cross Island Parkway, NB, Exit 32, Bell Blvd
Cross Island Parkway, NB, Exit 33, Throgs Neck Br/Bronx
Cross Island Parkway, NB, Exit 34, Utopia Pkwy
Cross Island Parkway, NB, Exit 36N, Whitestone Br/Bronx
Cross Island Parkway, NB, Exit 36S, Whitestone Expwy
Cross Island Parkway, SB, Whitestone Expwy/Whitestone Br
Cross Island Parkway, SB, Exit 35, 14th Ave/Francis Lewis Blvd
Cross Island Parkway, SB, Exit 34, 160th St/Utopia Pkwy
Cross Island Parkway, SB, Exit 33, SB Clearview Expwy/Bell Blvd
Cross Island Parkway, SB, Exit 31W, WB Northern Blvd
Cross Island Parkway, SB, Exit 31E, EB Northern Blvd
Cross Island Parkway, SB, Exit 30E, EB LIE
Cross Island Parkway, SB, Exits 29E-W, GCP
Cross Island Parkway, SB, Exit 28B, Union Tpke
Cross Island Parkway, SB, Exit 28A, Hillside Ave
Cross Island Parkway, SB, Exit 27W, WB Jamaica Ave/Braddock Ave
Cross Island Parkway, SB, Exit 27E, EB Jamaica Ave/Jericko Tpke
Cross Island Parkway, SB, Exit 26D, UBS Arena-Belmont Park
Cross Island Parkway, SB, Exit 26C, WB Hempstead Ave
Cross Island Parkway, SB, Exit 26B, EB Hempststead Ave/Belmont Racetrack
Cross Island Parkway, SB, Exit 26A, UBS Arena-Belmont Park
Cross Island Parkway, SB, Exit 25B, Linden Blvd
Cross Island Parkway, SB, Exit 25A, SSP
Cross Island Parkway, SB, Belt Pkwy

Clearview Expressway, NB, Hillside Ave
Clearview Expressway, NB, Exit 1, GCP
Clearview Expressway, NB, Exit 2, Union Tpke
Clearview Expressway, NB, Exits 4E-W, LIE
Clearview Expressway, NB, Exit 5, Northern Blvd
Clearview Expressway, NB, Exit 6A, 35th Ave
Clearview Expressway, NB, Exit 7, Willets Point Blvd
Clearview Expressway, NB, Throgs Neck Bridge
Cross Bronx Expressway Ext, NB, Exit 9, Pennyfield Ave/Fort Schuyler
Cross Bronx Expressway Ext, NB, Exit 10, Throgs Neck Expwy
Cross Bronx Expressway Ext, NB, Exit 11, Randall Ave
Cross Bronx Expressway Ext, NB, Exit 12 WB Bruckner Expwy
Cross Bronx Expressway Ext, NB, SB Cross Bronx Expwy
Cross Bronx Expressway Ext, SB, Cross Bronx Expwy
Cross Bronx Expressway Ext, SB, Exit 11, Randall Ave
Cross Bronx Expressway Ext, SB, Exit 9, Harding Ave/Pennyfield Ave
Cross Bronx Expressway Ext, SB, Throgs Neck Bridge
Clearview Expressway, SB, Exit 8, SB CIP
Clearview Expressway, SB, Exit 6B, 26th Ave
Clearview Expressway, SB, Exit 6A, 35th Ave
Clearview Expressway, SB, Exit 5, Northern Blvd
Clearview Expressway, SB, Exits 4E-W, LIE
Clearview Expressway, SB, Exit 3, 73rd Ave
Clearview Expressway, SB, Exit 2, Union Tpke
Clearview Expressway, SB, Exit 1, GCP
Clearview Expressway, SB, Hillside Ave

Jackie Robinson Parkway, WB, LIE/GCP
Jackie Robinson Parkway, WB, Exit 6, Metropolitan Ave
Jackie Robinson Parkway, WB, Exit 4, Forest Park Dr/Myrtle Ave/Woodhaven Blvd
Jackie Robinson Parkway, WB, Exit 3, Cypress Hill St
Jackie Robinson Parkway, WB, Exit 2, Cyprus Ave/Vermont Ave
Jackie Robinson Parkway, WB, Exit 1, Bushwick Ave
Jackie Robinson Parkway, WB, Pennsylvania Ave/E. New York Ave
Jackie Robinson Parkway, EB, Pennsylvania Ave/E. New York Ave
Jackie Robinson Parkway, EB, Exit 2, Cyprus Ave/Vermont Ave
Jackie Robinson Parkway, EB, Exit 3, Cypress Hill St
