highway,direction,exit,exit_name
New England Thruway, NB, Bronx/Westchester County Line
New England Thruway, SB, Bronx/Westchester County Line
New England Thruway, SB, Exit 14, SB Hutchinson River Pkwy
New England Thruway, SB, Exit 13, Conner St/Baychester Ave
New England Thruway, SB, Exit 11, Bartow Ave/Co-op City Blvd
New England Thruway, SB, Exit 9, NB Hutchinson River Pkwy
New England Thruway, SB, Exit 8C, WB Pelham Pkwy
New England Thruway, SB, Exit 8B, Orchard Beach/City Island
Bruckner Expressway, SB, Exit 8A, Westchester Ave
Bruckner Expressway, SB, Exit 7B, E. Tremont Ave
Bruckner Expressway, SB, Exit 7A, Throgs Neck Br
Bruckner Expressway, SB, Exit 6B, Bruckner Expwy/RFK Bridge
Bruckner Expressway SB, Exit 6A, Whitestone Br/Bruckner Blvd
Cross Bronx Expressway, SB, Exit 5A, Whiteplains Rd/Westchester Ave
Cross Bronx Expressway, SB, Exit 4B, Rosedale Ave/Bronx River Pkwy
Cross Bronx Expressway, SB, Exit 3, Third Ave/Webster Ave
Cross Bronx Expressway, SB, Exit 2A, Jerome Ave
Cross Bronx Expressway, SB, Exits 1D-C-B, Major Deegan Expwy
Trans Manhattan Expwy, SB, Exit 1A, HHP/W.181st St
Trans Manhattan Expwy, SB, GWB
